size,energy,energy_per_byte
63,421.53979824,6.6911079085714285
64,421.53979824,6.5865593475
65,422.60255664,6.5015777944615385
66,422.60255664,6.40306904
67,422.60255664,6.307500845373134
68,423.66531503999994,6.230372279999999
69,423.66531503999994,6.140077029565217
70,423.66531503999994,6.05236164342857
71,423.66531503999994,5.967117113239436
72,424.72807343999995,5.899001019999999
73,424.72807343999995,5.818192786849314
74,424.72807343999995,5.7395685599999995
75,425.79083183999995,5.677211091199999
76,425.79083183999995,5.602510945263157
77,425.79083183999995,5.529751062857143
78,425.79083183999995,5.458856818461538
79,426.85359023999996,5.403210003037974
80,426.85359023999996,5.335669877999999
81,426.85359023999996,5.26979741037037
82,427.91634863999997,5.218492056585365
83,427.91634863999997,5.155618658313252
84,427.91634863999997,5.094242245714286
85,427.91634863999997,5.034309983999999
86,428.97910704,4.9881291516279065
87,428.97910704,4.930794333793103
88,428.97910704,4.87476258
89,430.04186544,4.83193107235955
90,430.04186544,4.778242949333333
91,430.04186544,4.725734785054945
92,430.04186544,4.674368102608695
93,431.10462384,4.6355335896774195
94,431.10462384,4.5862194025531915
95,431.10462384,4.537943408842105
96,432.16738223999994,4.501743564999999
97,432.16738223999994,4.455333837525773
98,432.16738223999994,4.409871247346938
99,432.16738223999994,4.365327093333333
100,433.23014063999995,4.332301406399999
101,433.23014063999995,4.289407333069306
102,433.23014063999995,4.2473543199999995
103,434.29289903999995,4.216435913009708
104,434.29289903999995,4.17589326
105,434.29289903999995,4.136122847999999
106,434.29289903999995,4.097102821132075
107,435.35565743999996,4.068744462056074
108,435.35565743999996,4.031070902222222
109,435.35565743999996,3.994088600366972
110,436.41841583999997,3.967440144
111,436.41841583999997,3.9316974399999998
112,436.41841583999997,3.8965929985714283
113,436.41841583999997,3.8621098746902653
114,437.48117424,3.83755416
115,437.48117424,3.8041841238260865
116,437.48117424,3.771389433103448
117,438.54393264,3.74823874051282
118,438.54393264,3.716474005423729
119,438.54393264,3.6852431314285714
120,438.54393264,3.654532772
121,439.60669104,3.6331131490909088
122,439.60669104,3.603333533114754
123,439.60669104,3.574038138536585
124,440.66944944,3.553785882580645
125,440.66944944,3.5253555955199998
126,440.66944944,3.4973765828571426
127,440.66944944,3.469838184566929
128,441.73220783999994,3.4510328737499996
129,441.73220783999994,3.424280680930232
130,441.73220783999994,3.397940060307692
131,442.79496623999995,3.38011424610687
132,442.79496623999995,3.3545073199999997
133,442.79496623999995,3.3292854604511275
134,442.79496623999995,3.304440046567164
135,443.85772463999996,3.287834997333333
136,443.85772463999996,3.2636597399999996
137,443.85772463999996,3.2398374061313864
138,444.92048303999997,3.2240614713043474
139,444.92048303999997,3.2008667844604313
140,444.92048303999997,3.178003450285714
141,444.92048303999997,3.155464418723404
142,445.98324144,3.140727052394366
143,445.98324144,3.118763926153846
144,445.98324144,3.097105843333333
145,447.04599984,3.083075860965517
146,447.04599984,3.0619589030136987
147,447.04599984,3.041129250612245
148,447.04599984,3.02058108
149,448.10875824,3.0074413304697987
150,448.10875824,2.9873917216
151,448.10875824,2.967607670463576
152,449.17151663999994,2.9550757673684207
153,449.17151663999994,2.9357615466666664
154,449.17151663999994,2.9166981599999997
155,449.17151663999994,2.8978807525161288
156,450.23427503999994,2.8861171476923073
157,450.23427503999994,2.8677342359235665
158,450.23427503999994,2.8495840192405058
159,451.29703343999995,2.838346122264151
160,451.29703343999995,2.8206064589999995
161,451.29703343999995,2.8030871642236024
162,451.29703343999995,2.7857841570370367
163,452.35979183999996,2.7752134468711653
164,452.35979183999996,2.758291413658536
165,452.35979183999996,2.7415744959999997
166,453.42255023999996,2.7314611460240963
167,453.42255023999996,2.715105091257485
168,453.42255023999996,2.6989437514285712
169,453.42255023999996,2.6829736700591713
170,454.48530863999997,2.673442992
171,454.48530863999997,2.6578088224561403
172,454.48530863999997,2.6423564455813953
173,455.54806704,2.633225821040462
174,455.54806704,2.6180923393103446
175,455.54806704,2.6031318116571427
176,455.54806704,2.58834129
177,456.61082544,2.5797221776271186
178,456.61082544,2.5652293564044943
179,456.61082544,2.5508984661452514
180,457.67358384,2.5426310213333334
181,457.67358384,2.5285833361325967
182,457.67358384,2.514690021098901
183,457.67358384,2.5009485455737703
184,458.73634223999994,2.4931322947826082
185,458.73634223999994,2.4796559039999995
186,458.73634223999994,2.466324420645161
187,459.79910063999995,2.4588187199999996
188,459.79910063999995,2.4457398970212765
189,459.79910063999995,2.432799474285714
190,459.79910063999995,2.4199952665263154
191,460.86185903999996,2.4128893143455494
192,460.86185903999996,2.4003221824999996
193,460.86185903999996,2.38788528
194,461.92461743999996,2.3810547290721646
195,461.92461743999996,2.3688441919999996
196,461.92461743999996,2.356758252244898
197,461.92461743999996,2.3447950123857866
198,462.98737583999997,2.33832008
199,462.98737583999997,2.3265697278391957
200,462.98737583999997,2.3149368792
201,464.05013424,2.308707135522388
202,464.05013424,2.2972778922772275
203,464.05013424,2.285961252413793
204,464.05013424,2.27475556
205,465.1128926399999,2.268843378731707
206,465.1128926399999,2.25782957592233
207,465.1128926399999,2.246922186666666
208,466.17565103999993,2.2412290915384614
209,466.17565103999993,2.2305055073684206
210,466.17565103999993,2.219884052571428
211,466.17565103999993,2.2093632750710896
