,TX_COLLISION_TIMER_NOMINAL,MEASURE_INTERVAL_S,hops,pdr,plr,aggregation_efficiency,energy
63,31,1800,2,0.9787234042553191,0.02127659574468085,0.0,145818.13900417386
64,41,1800,0,0.9361702127659575,0.0425531914893617,0.40816326530612246,153672.40370739586
65,41,1800,0,0.9787234042553191,0.02127659574468085,0.75,154536.0841696964
66,41,1800,0,0.6595744680851063,0.3404255319148936,0.9591836734693877,161353.94152097608
67,41,1800,0,0.9787234042553191,0.02127659574468085,0.9387755102040817,159948.86875892055
68,41,1800,0,1.0,0.0,0.96,160976.2632128091
69,41,1800,0,0.723404255319149,0.2765957446808511,0.8793103448275862,165705.0467231877
70,41,1800,1,0.3617021276595745,0.6170212765957447,0.0,146473.79912546233
71,41,1800,1,0.7659574468085106,0.23404255319148937,0.0,146076.16100581322
72,41,1800,1,0.6595744680851063,0.3404255319148936,0.0,153460.01691823432
73,41,1800,1,0.9574468085106383,0.0425531914893617,0.0,152355.604843127
74,41,1800,1,1.0,0.0,0.0,154288.8101665009
75,41,1800,1,0.7872340425531915,0.2127659574468085,0.75,153942.6227041887
76,41,1800,1,1.0,0.0,0.9591836734693877,154169.25331852012
77,41,1800,1,0.8085106382978723,0.19148936170212766,0.0,154511.9928098656
78,41,1800,2,1.0,0.0,0.0,145804.67475004809
79,41,1800,2,0.574468085106383,0.425531914893617,0.0,146069.13495582872
80,51,1800,0,0.8936170212765957,0.02127659574468085,0.9591836734693877,154131.9133266438
81,51,1800,0,0.9574468085106383,0.0,0.7916666666666666,155429.85619998886
82,51,1800,0,1.0,0.0,0.9591836734693877,164839.46874486335
83,51,1800,0,1.0,0.0,0.9591836734693877,163548.2566397196
84,51,1800,0,1.0,0.0,0.9726027397260274,173952.33841473548
85,51,1800,0,1.0,0.0,0.9836065573770492,172791.166487978
86,51,1800,1,0.8936170212765957,0.02127659574468085,0.0,146261.56299696
87,51,1800,1,0.7872340425531915,0.19148936170212766,0.0,146445.757130035
88,51,1800,1,1.0,0.0,0.0,152294.65933771236
89,51,1800,1,1.0,0.0,0.0,154119.7893981734
90,51,1800,1,1.0,0.0,0.0,156793.52993690578
91,51,1800,1,1.0,0.0,0.9591836734693877,155708.60405613144
92,51,1800,1,1.0,0.0,0.9591836734693877,157651.9107845611
93,51,1800,1,1.0,0.0,0.0,155665.57030838213
94,51,1800,2,1.0,0.0,0.0,146594.25048807438
95,51,1800,2,1.0,0.0,0.0,146476.655652964
96,61,1800,0,0.9787234042553191,0.02127659574468085,0.5208333333333333,151903.54404550447
97,61,1800,0,0.851063829787234,0.0425531914893617,0.9791666666666666,154004.44011329275
98,61,1800,0,1.0,0.0,0.9375,161321.92168655538
99,61,1800,0,1.0,0.0,0.9591836734693877,163890.3342786182
100,61,1800,0,1.0,0.0,0.9,163764.0004824056
101,61,1800,0,1.0,0.0,0.9861111111111112,172139.5577158429
102,61,1800,1,0.5319148936170213,0.46808510638297873,0.0,146887.00854172453
103,61,1800,1,0.851063829787234,0.0425531914893617,0.0,145663.44927374244
104,61,1800,1,0.9574468085106383,0.0425531914893617,0.0,151288.90166922382
105,61,1800,1,1.0,0.0,0.0,153857.98522338044
106,61,1800,1,0.5531914893617021,0.3829787234042553,0.0,153925.77546409174
107,61,1800,1,0.9787234042553191,0.02127659574468085,0.9591836734693877,158188.08171215665
108,61,1800,1,0.8723404255319149,0.1276595744680851,0.9591836734693877,154166.5471000638
109,61,1800,1,1.0,0.0,0.0,156562.18648706778
110,61,1800,2,0.8723404255319149,0.1276595744680851,0.0,146291.76229288988
111,61,1800,2,0.9787234042553191,0.02127659574468085,0.0,146569.51345359648
112,71,1800,0,0.8936170212765957,0.0851063829787234,0.625,152761.8586826569
113,71,1800,0,0.8723404255319149,0.0425531914893617,0.8125,153853.73868020542
114,71,1800,0,1.0,0.0,0.7916666666666666,160769.98354866734
115,71,1800,0,1.0,0.0,0.9591836734693877,161370.5780227649
116,71,1800,0,1.0,0.0,0.9622641509433962,163784.41075078453
117,71,1800,0,1.0,0.0,0.94,164528.7721057645
118,71,1800,1,0.6382978723404256,0.3617021276595745,0.0,146371.70249847812
119,71,1800,1,0.7021276595744681,0.2127659574468085,0.0,146326.55426206216
120,71,1800,1,0.8085106382978723,0.19148936170212766,0.0,150927.24271152084
121,71,1800,1,1.0,0.0,0.0,153445.40249101547
122,71,1800,1,0.6382978723404256,0.3404255319148936,0.0,154078.81351348368
123,71,1800,1,0.8723404255319149,0.1276595744680851,0.9591836734693877,154569.59948271405
124,71,1800,1,1.0,0.0,0.9591836734693877,154552.04569949058
125,71,1800,1,1.0,0.0,0.0,154102.84042308092
126,71,1800,2,1.0,0.0,0.0,146415.69414388028
127,71,1800,2,0.8723404255319149,0.1276595744680851,0.0,146333.85182299133
128,81,1800,0,1.0,0.0,0.9387755102040817,154501.00396851424
129,81,1800,0,1.0,0.0,0.9387755102040817,154207.25982993186
130,81,1800,0,1.0,0.0,0.8125,163901.86240921996
131,81,1800,0,1.0,0.0,0.5,159738.1305752232
132,81,1800,0,1.0,0.0,0.9491525423728814,167849.37890379288
133,81,1800,0,1.0,0.0,0.9166666666666666,167325.0475157666
134,81,1800,1,0.9787234042553191,0.0,0.0,146456.33200405713
135,81,1800,1,0.9787234042553191,0.02127659574468085,0.0,146166.77266042135
136,81,1800,1,0.8297872340425532,0.1702127659574468,0.0,155134.5154154797
137,81,1800,1,0.5106382978723404,0.48936170212765956,0.0,154816.94640614092
138,81,1800,1,1.0,0.0,0.0,153670.05145430678
139,81,1800,1,0.8723404255319149,0.1276595744680851,0.0,154655.6174999409
140,81,1800,1,1.0,0.0,0.6938775510204082,156873.15449521886
141,81,1800,1,0.9148936170212766,0.0851063829787234,0.6938775510204082,155489.33843696056
142,81,1800,2,0.723404255319149,0.2765957446808511,0.0,147062.66668758824
143,81,1800,2,0.7021276595744681,0.2978723404255319,0.0,146937.8313261892
144,91,1800,0,1.0,0.0,0.9591836734693877,154592.45456108102
145,91,1800,0,1.0,0.0,0.9591836734693877,154602.96727829866
146,91,1800,0,1.0,0.0,0.9583333333333334,162845.7895020609
147,91,1800,0,1.0,0.0,0.9591836734693877,162205.55990854953
148,91,1800,0,1.0,0.0,0.9285714285714286,163948.94895630833
149,91,1800,0,1.0,0.0,0.9795918367346939,160830.30364105152
150,91,1800,1,1.0,0.0,0.0,146381.71554139312
151,91,1800,1,1.0,0.0,0.0,146581.11185759061
152,91,1800,1,0.9787234042553191,0.02127659574468085,0.0,153520.72045605312
153,91,1800,1,1.0,0.0,0.0,153760.87395780798
154,91,1800,1,0.9574468085106383,0.02127659574468085,0.0,151557.63608648622
155,91,1800,1,0.6595744680851063,0.3191489361702128,0.9591836734693877,154929.72365079806
156,91,1800,1,0.9361702127659575,0.06382978723404255,0.9387755102040817,155057.9339104252
157,91,1800,1,1.0,0.0,0.0,153928.26794855908
158,91,1800,2,0.9148936170212766,0.0851063829787234,0.0,146543.4574593774
159,91,1800,2,0.6595744680851063,0.3191489361702128,0.0,145877.5848207926
