,TX_AGGREGATION_TIMER_NOMINAL,size,hops,pdr,plr,aggregation_efficiency,energy
52,60,6,0,0.0,0.0,0.0,22222.692078927837
53,60,6,0,0.0,0.0,0.0,21079.291263903615
54,60,7,0,1.0,0.0,0.8571428571428572,23186.87834859639
55,60,7,0,0.9090909090909091,0.0,0.4545454545454546,23693.49341061377
56,60,7,0,1.0,0.0,0.0,19581.46129080212
57,60,7,0,0.9090909090909091,0.0,0.0,20227.961391733857
58,60,7,0,0.0,0.0,0.0,19700.38732514216
59,60,7,0,0.0,0.0,0.0,19716.53104133305
60,60,7,0,0.0,0.0,0.0,19907.20678972806
61,60,7,0,0.0,0.0,0.0,18414.504985273863
62,60,7,0,0.0,0.0,0.0,20279.283362412054
63,60,8,0,0.0,0.0,0.0,17182.01479497538
64,60,8,0,0.0,0.0,0.0,18874.72157061629
65,60,8,0,0.0,0.0,0.0,17389.742590666894
66,60,8,0,0.0,0.0,0.0,19891.29245928255
67,60,8,0,0.0,0.0,0.0,18400.752721018285
68,60,8,0,0.0,0.0,0.0,19141.772178274285
69,60,8,0,0.0,0.0,0.0,19637.82574073333
70,60,8,0,0.0,0.0,0.0,19034.67518108945
71,60,8,0,0.0,0.0,0.0,19354.378384055573
72,60,9,0,1.0,0.0,0.8181818181818181,24963.391817303425
73,60,9,0,0.8181818181818182,0.0,0.0,23636.040434283703
74,60,9,0,0.9,0.0,0.9,26194.5475515959
75,60,9,0,0.8181818181818182,0.0,0.0,24820.103188890884
76,60,9,0,0.8181818181818182,0.0,0.8095238095238095,28747.098477916603
77,60,9,0,0.8181818181818182,0.0,0.8181818181818181,26732.912982385504
78,60,9,0,0.9,0.0,0.0,22342.884807122755
79,60,9,0,0.9,0.0,0.44999999999999996,26023.70296823319
80,60,9,0,0.8181818181818182,0.0,0.0,22921.137465176635
81,120,1,0,0.0,0.0,0.0,23721.304791490093
82,120,1,0,0.0,0.0,0.0,22728.92370099518
83,120,1,0,0.0,0.0,0.0,24016.12924907035
84,120,1,0,0.0,0.0,0.0,23215.32495587995
85,120,1,0,0.0,0.0,0.0,23268.444306194535
86,120,1,0,0.0,0.0,0.0,23936.57641511411
87,120,1,0,0.0,0.0,0.0,22715.868771337446
88,120,1,0,0.0,0.0,0.0,22294.678009281895
89,120,1,0,0.0,0.0,0.0,22158.311202033085
90,120,2,0,1.0,0.0,0.8095238095238095,25532.568809593402
91,120,2,0,1.0,0.0,0.7391304347826086,25792.534198745736
92,120,2,0,1.0,0.0,0.0,21619.228744909546
93,120,2,0,0.9090909090909091,0.0,0.0,22224.173287025147
94,120,2,0,0.9090909090909091,0.0,0.0,21860.265259212578
95,120,2,0,1.0,0.0,0.6111111111111112,25948.951964560885
96,120,2,0,0.9090909090909091,0.0,0.0,21848.973574739863
97,120,2,0,0.9090909090909091,0.0,0.0,21840.54079111769
98,120,2,0,0.0,0.0,0.0,19972.6624755677
99,120,3,0,0.0,0.0,0.0,20424.747019686685
100,120,3,0,0.0,0.0,0.0,20004.872667160387
101,120,3,0,0.0,0.0,0.0,20165.679182890006
102,120,3,0,0.0,0.0,0.0,19282.806549091816
103,120,3,0,0.0,0.0,0.0,21055.830938300507
104,120,3,0,0.0,0.0,0.0,20887.53767263813
