,TX_AGGREGATION_TIMER_NOMINAL,MEASURE_INTERVAL_S,hops,pdr,plr,aggregation_efficiency,energy
89,600,1800,1,1.0,0.0,0.0,313900.3167514212
90,600,1800,1,0.8842105263157894,0.11578947368421053,0.0,310176.60490694724
91,600,1800,1,0.9578947368421052,0.042105263157894736,0.0,305909.12417046906
92,600,1800,1,1.0,0.0,0.4973821989528796,358798.3204229389
93,600,1800,1,1.0,0.0,0.42168674698795183,350377.0253885518
94,600,1800,2,1.0,0.0,0.0,298562.4329074914
95,600,1800,3,0.7368421052631579,0.2736842105263158,0.0,292070.73250918736
96,660,1800,0,1.0,0.0,0.9791666666666666,310498.3559663528
97,660,1800,0,1.0,0.0,0.4973821989528796,349537.09999691177
98,660,1800,0,1.0,0.0,0.84375,340759.4048455965
99,660,1800,0,1.0,0.0,0.4973821989528796,376441.889376637
100,660,1800,0,1.0,0.0,0.9947643979057592,377348.4573244864
101,660,1800,0,1.0,0.0,0.9946236559139785,381719.8251514447
102,660,1800,1,0.9894736842105263,0.0,0.0,282353.57161620096
103,660,1800,1,1.0,0.0,0.0,295778.9483897034
104,660,1800,1,0.8526315789473684,0.14736842105263157,0.0,295918.80613650416
105,660,1800,1,1.0,0.0,0.0,310011.08662420703
106,660,1800,1,1.0,0.0,0.0,311490.7128033418
107,660,1800,1,0.28421052631578947,0.7263157894736842,0.0,310199.1191602255
108,660,1800,1,1.0,0.0,0.4973821989528796,363099.615904925
109,660,1800,1,0.7157894736842105,0.28421052631578947,0.4973821989528796,362009.9046882168
110,660,1800,2,1.0,0.0,0.0,302315.53931564395
111,660,1800,3,1.0,0.0,0.0,287780.32750244223
112,720,1800,0,1.0,0.0,0.9895833333333334,311580.2173239419
113,720,1800,0,1.0,0.0,0.49473684210526314,349191.6818539158
114,720,1800,0,1.0,0.0,0.9895833333333334,339832.39519063005
115,720,1800,0,1.0,0.0,0.4973821989528796,378011.34319089336
116,720,1800,0,1.0,0.0,0.9947368421052631,378982.1201547916
117,720,1800,0,1.0,0.0,0.9947368421052631,389105.3678106613
118,720,1800,1,1.0,0.0,0.0,282237.2447480851
119,720,1800,1,0.9894736842105263,0.0,0.0,296153.4543045973
120,720,1800,1,1.0,0.0,0.0,296262.8126591956
121,720,1800,1,1.0,0.0,0.0,310947.8205749583
122,720,1800,1,0.8947368421052632,0.10526315789473684,0.0,310502.74423988163
123,720,1800,1,0.7789473684210526,0.22105263157894736,0.0,310152.99087813
124,720,1800,1,1.0,0.0,0.49473684210526314,362580.77410381165
125,720,1800,1,0.6526315789473685,0.3473684210526316,0.4973821989528796,363463.5531374131
126,720,1800,2,0.9894736842105263,0.0,0.0,296596.79049049295
127,720,1800,3,1.0,0.0,0.0,292498.91036074347
128,780,1800,0,0.4421052631578947,0.24210526315789474,0.9166666666666666,308735.46192658803
129,780,1800,0,1.0,0.0,0.4973821989528796,343204.40521417465
130,780,1800,0,1.0,0.0,0.9270833333333334,334227.05818918487
