,MEASURE_PAYLOAD_SIZE_BYTE,MEASURE_INTERVAL_S,children,pdr,plr,aggregation_efficiency,energy,energy_per_byte,energy_tx_per_byte,latency
206,14,1800,0,0.9565217391304348,0.0,0.0,67179.81532736214,208.63296685516192,30.300248634045527,962.0393720012435
207,14,1800,0,0.9545454545454546,0.0,0.0,67243.4763955074,218.32297531008896,30.357204154292273,962.0393720012435
208,14,1800,0,0.9545454545454546,0.0,0.0,66123.15432041323,214.68556597536764,30.35720415429258,962.1861480013831
209,14,1800,0,0.9545454545454546,0.0,0.0,64593.88069402325,209.72039186371185,30.35720415429258,962.1861480013831
210,14,1800,0,0.9130434782608695,0.0,0.0,55730.13115957621,173.07494148936712,30.300248634043477,962.0393720012435
211,14,1800,0,0.9545454545454546,0.0,0.0,48381.25448900541,157.0819950941734,30.35720415429258,962.0393720012435
212,14,1800,0,1.0,0.0,0.0,43936.53518172079,149.4439972167374,30.41958400980318,961.9159160013915
213,14,1800,0,1.0,0.0,0.0,78963.0162673799,268.5816879842854,30.41958400980318,961.9159160013915
214,14,1800,1,1.0,0.0,0.9545454545454546,55135.571635671986,93.76797897223126,15.399570290622176,963.0118760001451
215,14,1800,1,1.0,0.0,0.9130434782608696,50555.66052779562,85.97901450305378,16.08394128899089,963.0118760001451
216,14,1800,1,1.0,0.0,0.9130434782608696,78442.20466163018,130.3026655508807,15.716957660341892,902.4783279996245
217,14,1800,2,1.0,0.0,0.9428571428571428,90779.32032081406,43.51837024008344,7.115611046984568,915.6413710682727
218,14,1800,2,0.9130434782608695,0.0,0.88,58925.41502736935,62.820271884189076,11.079847606832278,915.6413710682727
219,14,1800,2,0.9565217391304348,0.0,0.875,75950.82513139171,83.46244519933155,10.966878378205754,916.1015600001465
220,14,1800,2,0.9565217391304348,0.0,0.9142857142857143,56439.35289100061,31.251025964009198,8.159372118277284,916.1015600001465
221,14,1800,2,1.0,0.0,0.9705882352941176,72405.32865360621,24.16733266141729,4.931750131163381,902.3677079995841
222,14,1800,3,1.0,0.0,0.9130434782608696,80281.05345697074,69.93123123429507,8.422340069271462,840.232838131361
223,14,1800,4,0.9545454545454546,0.0,0.9428571428571428,88930.33634680588,59.36604562537108,9.766764328444923,1184.3772480001626
224,16,1800,0,1.0,0.0,0.0,73475.21551080172,218.67623663929083,26.683558408592685,936.1051560001042
225,16,1800,0,1.0,0.0,0.0,73479.04838582386,218.68764400542815,26.683558408592685,936.1051560001042
226,16,1800,0,1.0,0.0,0.0,76660.80521531642,217.78637845260346,26.62897603502012,936.1051559998805
227,16,1800,0,1.0,0.0,0.0,82305.67782364899,223.6567332164375,26.57913995480297,936.1051559998805
228,16,1800,0,1.0,0.0,0.0,80625.17654356496,229.0487969987641,26.62897603502012,936.1051559989955
229,16,1800,0,1.0,0.0,0.0,60472.16578269117,164.32653745296514,26.579139954801942,936.1051559989955
230,16,1800,0,1.0,0.0,0.0,72090.83304187006,195.89900283116864,26.57913995480297,936.1051559989955
231,16,1800,0,0.9565217391304348,0.0,0.0,52585.393378770306,142.8950907031802,26.57913995480297,936.1051559989955
232,16,1800,0,0.9565217391304348,0.0,0.0,46072.30000730093,125.19646741114384,26.579139954805022,936.1051559989955
233,16,1800,0,0.9545454545454546,0.0,0.0,44185.6104894093,125.52730252673096,26.62897603502012,936.1051559989955
234,16,1800,0,0.9545454545454546,0.0,0.0,67672.39921409781,192.25113413095968,26.62897603502012,936.1051559989955
235,16,1800,0,0.9545454545454546,0.0,0.0,79850.61202614263,226.84832961972336,26.62897603502012,936.1051559989955
236,16,1800,0,0.9565217391304348,0.0,0.0,65577.9532078064,178.20095980382172,26.579139954805278,936.1051560012129
237,16,1800,0,0.9545454545454546,0.0,0.0,65449.29131738319,185.93548669711134,26.62897603502039,936.1051560012129
238,16,1800,0,0.9545454545454546,0.0,0.0,64030.62153100242,181.90517480398415,26.628976035021193,936.1051560012129
239,16,1800,0,0.9545454545454546,0.0,0.0,62948.86947154192,178.83201554415317,26.62897603502012,936.1051560012129
240,16,1800,0,0.9130434782608695,0.0,0.0,55943.34189968066,152.0199508143496,26.579139954801942,936.1051560012129
241,16,1800,0,0.9545454545454546,0.0,0.0,48668.55822567154,138.2629495047487,26.62897603502012,936.1051560012129
242,16,1800,0,1.0,0.0,0.0,43949.36036436708,130.8016677510925,26.683558408592685,936.1051560012129
243,16,1800,0,1.0,0.0,0.0,82432.43842450896,245.33463816818144,26.683558408592685,936.1051560012129
244,16,1800,1,1.0,0.0,0.9545454545454546,56259.53021566792,83.71953901141059,13.50783520429146,825.8735480001005
245,16,1800,1,1.0,0.0,0.9130434782608696,49220.18650726644,73.24432515962268,14.10824131357915,825.8735480001005
246,16,1800,1,1.0,0.0,0.9545454545454546,81649.1914278288,121.50177295807858,13.50783520429146,826.4581359994709
247,16,1800,1,1.0,0.0,0.9130434782608696,80420.44751991867,116.890185348719,13.786321506284596,826.4581359994709
248,16,1800,1,0.9545454545454546,0.0,0.9166666666666666,88890.9778658526,126.26559355944973,14.053658940007267,826.0529279991606
249,16,1800,1,0.9565217391304348,0.0,0.88,52749.23756825793,50.72042073870955,10.027914270004302,826.0529279991606
250,16,1800,2,1.0,0.0,0.9545454545454546,95732.07292812486,35.19561504710473,6.86669398800344,872.8290252304969
251,16,1800,2,0.9130434782608695,0.0,0.88,59093.165728079766,55.12422176126844,9.739478715674348,872.8290252304969
252,16,1800,2,0.9565217391304348,0.0,0.875,70389.96670556904,67.68266029381638,9.64098143631077,902.4593280001609
253,16,1800,2,1.0,0.0,0.9696969696969697,70441.43292268355,29.350597051118147,5.889163585803287,902.4593280001609
254,16,1800,3,1.0,0.0,0.9166666666666666,84339.76437182682,41.181525572181066,5.0706886106294835,915.3823402936059
255,16,1800,3,0.9545454545454546,0.0,0.9166666666666666,82030.99960901905,40.054199027841335,5.07016968562895,915.3823402936059
256,18,1800,0,1.0,0.0,0.0,73957.57497755338,195.65496025807772,23.71871858541572,982.8093400001371
257,18,1800,0,1.0,0.0,0.0,72395.08236831425,191.52138192675727,23.71871858541572,982.8093400001371
258,18,1800,0,1.0,0.0,0.0,77068.57775424623,194.61762059153088,23.670200920017887,982.8093400001371
259,18,1800,0,1.0,0.0,0.0,81818.4072287146,197.62900296790966,23.625902182047085,983.0390160000607
260,18,1800,0,1.0,0.0,0.0,77303.6026913994,195.21111790757425,23.670200920017887,983.0390160000607
261,18,1800,0,1.0,0.0,0.0,58380.3052449666,141.01523006030578,23.625902182047085,983.0390160000607
