,MEASURE_INTERVAL_S,TX_AGGREGATION_TIMER_NOMINAL,children,pdr,plr,aggregation_efficiency,energy,latency
71,1800,360,0,0.9565217391304348,0.043478260869565216,0.0,93619.85093930083,93619.85093930083
72,1800,360,0,0.9565217391304348,0.043478260869565216,0.0,89050.90253203607,89050.90253203607
73,1800,360,0,1.0,0.0,0.0,90568.16124120547,90568.16124120547
74,1800,360,0,1.0,0.0,0.0,127120.69030931109,127120.69030931109
75,1800,360,0,0.9565217391304348,0.043478260869565216,0.0,123093.2327045369,123093.2327045369
76,1800,360,0,0.4782608695652174,0.4782608695652174,0.0,129756.83966231422,129756.83966231422
77,1800,360,0,0.9565217391304348,0.0,0.0,109365.63357580295,109365.63357580295
78,1800,360,0,1.0,0.0,0.0,110699.64884831438,110699.64884831438
79,1800,360,0,1.0,0.0,0.0,110623.52652901538,110623.52652901538
80,1800,360,0,1.0,0.0,0.0,118263.85907368097,118263.85907368097
81,1800,360,0,0.9565217391304348,0.043478260869565216,0.0,94041.54347377035,94041.54347377035
82,1800,360,0,1.0,0.0,0.0,85489.70930763506,85489.70930763506
83,1800,360,0,0.9565217391304348,0.043478260869565216,0.0,127891.8913558719,127891.8913558719
84,1800,360,1,1.0,0.0,0.92,96745.79503656225,96745.79503656225
85,1800,360,1,1.0,0.0,0.6764705882352942,93324.28465143751,93324.28465143751
86,1800,360,1,1.0,0.0,0.9583333333333334,127122.90481576961,127122.90481576961
87,1800,360,1,1.0,0.0,0.5428571428571429,133212.48095780233,133212.48095780233
88,1800,360,1,0.9130434782608695,0.043478260869565216,0.7666666666666666,105354.43842193062,105354.43842193062
89,1800,360,1,1.0,0.0,0.9259259259259259,95043.01562917938,95043.01562917938
90,1800,360,2,1.0,0.0,0.6571428571428571,137174.37930105178,137174.37930105178
91,1800,360,2,1.0,0.0,0.8,97295.35855109362,97295.35855109362
92,1800,360,2,0.9565217391304348,0.043478260869565216,0.9310344827586207,131370.5399409167,131370.5399409167
93,1800,360,2,0.9565217391304348,0.0,0.9545454545454546,139964.1135261454,139964.1135261454
94,1800,360,2,0.9565217391304348,0.0,0.9523809523809523,119800.89404736462,119800.89404736462
95,1800,360,2,1.0,0.0,0.96,110232.8565090305,110232.8565090305
96,1800,450,0,1.0,0.0,0.0,118469.98227147183,118469.98227147183
97,1800,450,0,1.0,0.0,0.0,118016.56084824401,118016.56084824401
98,1800,450,0,1.0,0.0,0.0,122568.31918991286,122568.31918991286
99,1800,450,0,1.0,0.0,0.0,127937.31978961834,127937.31978961834
100,1800,450,0,1.0,0.0,0.0,122293.2415405923,122293.2415405923
101,1800,450,0,1.0,0.0,0.0,110209.34040896279,110209.34040896279
102,1800,450,0,1.0,0.0,0.0,110332.26908825008,110332.26908825008
103,1800,450,0,1.0,0.0,0.0,92989.62422339928,92989.62422339928
104,1800,450,0,1.0,0.0,0.0,89438.52249551262,89438.52249551262
105,1800,450,0,1.0,0.0,0.0,89581.4464194901,89581.4464194901
106,1800,450,0,1.0,0.0,0.0,124694.79772709172,124694.79772709172
107,1800,450,0,0.9130434782608695,0.08695652173913043,0.0,125268.58596709772,125268.58596709772
108,1800,450,0,1.0,0.0,0.0,121540.85254262525,121540.85254262525
109,1800,450,0,0.782608695652174,0.043478260869565216,0.0,124412.41878456013,124412.41878456013
110,1800,450,0,1.0,0.0,0.0,110329.65159250965,110329.65159250965
111,1800,450,0,1.0,0.0,0.0,110802.80566730633,110802.80566730633
112,1800,450,0,1.0,0.0,0.0,111190.66776192797,111190.66776192797
113,1800,450,0,1.0,0.0,0.0,119146.19139611023,119146.19139611023
114,1800,450,0,1.0,0.0,0.0,93730.34217574277,93730.34217574277
115,1800,450,0,0.9565217391304348,0.043478260869565216,0.0,85437.75853205366,85437.75853205366
