,LORA_SF,MEASURE_INTERVAL_S,hops,pdr,plr,aggregation_efficiency,energy,energy_per_byte,energy_tx_per_byte,latency
45,8,1800,0,1.0,0.0,0.8333333333333334,50316.93776320348,419.30781469336233,41.367538607990646,813.8493239991822
46,8,1800,0,1.0,0.0,0.0,50986.426811062236,849.7737801843706,75.22054504800604,783.34336399922
47,8,1800,1,0.8181818181818182,0.09090909090909091,0.8461538461538461,35344.84588126715,184.0877389649331,28.313706932498437,1869.6799560002992
48,8,1800,1,0.8,0.2,0.0,32434.35108219196,540.5725180365326,75.22054504800604,1684.903956000343
49,8,1800,1,0.9,0.1,0.0,53906.90226443326,898.4483710738876,75.22054504800604,2110.008419999027
50,8,1800,1,0.9,0.0,0.0,52203.87744620046,870.064624103341,75.22054504800604,2104.0042039982345
51,8,1800,1,1.0,0.0,0.0,49407.53673188383,823.4589455313973,75.22054504800604,2229.255315998291
52,8,1800,1,1.0,0.0,0.0,51394.37808090373,856.5729680150621,75.22054504800604,2469.0346839991016
53,8,1800,1,0.9,0.1,0.9090909090909091,47357.69093618757,263.09828297881984,25.640319496001535,3064.068584004446
54,8,1800,1,1.0,0.0,0.8,46642.42620913895,189.60335857373556,17.29993008780565,1263.7566800021377
55,8,1800,1,1.0,0.0,0.0,37733.18542213866,628.886423702311,75.22054504800604,4215.641528005646
56,8,1800,1,1.0,0.0,0.0,30745.90650867305,512.4317751445509,75.22054504800604,1991.016672000309
57,8,1800,2,0.9090909090909091,0.09090909090909091,0.0,32403.70096372779,490.96516611708773,74.60181536000614,2316.865276000346
58,8,1800,2,0.9,0.1,0.0,33147.69226121615,552.4615376869358,75.22054504800604,2132.094620000379
59,8,1800,2,0.8181818181818182,0.09090909090909091,0.0,41627.465861046636,630.7191797128278,74.60181536000472,2556.6923399991138
60,8,1800,2,0.9,0.1,0.0,42180.08827372667,703.0014712287779,75.22054504800604,2551.1948679977377
61,8,1800,2,1.0,0.0,0.0,41462.40984136664,691.0401640227774,75.22054504800604,2676.445979997794
62,8,1800,2,1.0,0.0,0.0,41295.57553065263,688.2595921775439,75.22054504800604,2916.225347998605
63,8,1800,2,0.9090909090909091,0.0,0.0,34404.10727488905,521.2743526498341,74.60181536000472,3511.2592480039493
64,9,1800,0,1.0,0.0,0.0,47333.3873970505,788.8897899508416,77.04848949600198,913.392768404593
65,9,1800,0,1.0,0.0,0.0,47386.660105491246,717.9796985680492,76.41172512000027,883.3392280001544
66,9,1800,0,1.0,0.0,0.0,52671.846210568794,877.86410350948,77.0484894960004,852.8142679996736
67,9,1800,0,1.0,0.0,0.7272727272727273,54058.90210718076,237.1004478385121,21.320031804208778,823.0524319991782
68,9,1800,0,1.0,0.0,0.0,50937.25062677428,943.2824190143385,77.82675706666897,793.2905959992113
69,9,1800,0,1.0,0.0,0.0,50706.46398892383,768.2797574079368,76.41172512000456,763.5287599992444
70,9,1800,0,1.0,0.0,0.0,44060.812237281614,734.3468706213603,77.04848949600198,732.8384279993243
71,9,1800,0,1.0,0.0,0.0,47658.48099453099,722.0981968868332,76.411725120006,703.4006000011395
72,9,1800,0,1.0,0.0,0.8181818181818181,38752.33876314419,339.9327961679315,41.22305240841655,672.8640040009595
73,9,1800,0,1.0,0.0,0.7857142857142857,37786.71094196236,165.73118834194017,26.793893048423406,643.2305400008736
74,9,1800,0,1.0,0.0,0.0,54613.67433580571,910.2279055967617,77.04848949600668,833.6760036711198
75,9,1800,0,1.0,0.0,0.8333333333333334,54840.984683231334,186.53396150758957,18.281477818775578,803.7619520001062
76,9,1800,0,1.0,0.0,0.7857142857142857,55049.76026629204,235.2553857533848,26.125036960002415,773.9371240001665
77,9,1800,0,1.0,0.0,0.75,51560.27082626374,238.7049575289988,24.3517433866659,744.1752879996475
78,9,1800,0,1.0,0.0,0.0,52257.70297449914,791.7833784015021,76.41172512000027,713.9256999992995
79,9,1800,1,1.0,0.0,0.9090909090909091,33839.23829035925,296.8354235996426,41.26034217683868,1381.1314720003884
80,9,1800,1,1.0,0.0,0.0,32125.31601321181,594.9132595039224,77.82675706666897,2036.5145919982415
81,9,1800,1,0.9090909090909091,0.0,0.7692307692307692,56347.45534019854,323.83595023102606,32.25416391998993,1561.2386919984328
82,9,1800,1,1.0,0.0,0.0,54474.1516501363,1008.7805861136352,77.82675706666897,1650.721219998266
83,9,1800,1,0.9,0.0,0.0,51185.42750754217,853.0904584590361,77.04848949600198,1740.769851998166
84,9,1800,1,1.0,0.0,0.0,52291.39315710612,968.3591325390022,77.82675706666897,1830.556391999693
85,9,1800,1,1.0,0.0,0.9090909090909091,48447.578845066,424.9787617988245,41.26034217683868,1920.735024002981
86,9,1800,1,1.0,0.0,0.9090909090909091,48754.192589885366,406.2849382490447,39.232750347995406,2011.045740002599
87,9,1800,1,0.9,0.0,0.8181818181818181,38666.637191921014,238.68294562914207,29.454910776292557,2100.885420003091
