,MEASURE_INTERVAL_S,TX_COLLISION_TIMER_NOMINAL,hops,pdr,plr,aggregation_efficiency,energy
66,1800,360,0,1.0,0.0,0.0,126996.77216602582
67,1800,360,0,1.0,0.0,0.9047619047619048,134064.74385716487
68,1800,360,0,1.0,0.0,0.0,131950.03224027378
69,1800,360,0,1.0,0.0,0.0,126333.17037457088
70,1800,360,0,1.0,0.0,0.0,115868.39992387562
71,1800,360,0,1.0,0.0,0.0,115353.24542478446
72,1800,360,0,1.0,0.0,0.9090909090909091,100380.21406429232
73,1800,360,0,1.0,0.0,0.0,127656.55188484964
74,1800,360,0,1.0,0.0,0.56,131696.63074377985
75,1800,360,0,1.0,0.0,0.9,129514.01360604266
76,1800,360,0,1.0,0.0,0.9,109690.732785384
77,1800,360,0,0.43478260869565216,0.5652173913043478,0.0,127551.97018318411
78,1800,360,1,1.0,0.0,0.8888888888888888,99233.84987178084
79,1800,360,1,1.0,0.0,0.0,126469.9452549693
80,1800,360,1,0.9090909090909091,0.045454545454545456,0.9444444444444444,135135.44344333478
81,1800,360,1,1.0,0.0,0.0,123438.34019755501
82,1800,360,1,0.6363636363636364,0.045454545454545456,0.0,126737.42173585469
83,1800,360,1,0.8695652173913043,0.13043478260869565,0.8888888888888888,119193.13714648517
84,1800,360,1,1.0,0.0,0.8636363636363636,95932.55634818116
85,1800,360,1,1.0,0.0,0.0,89740.88586203175
86,1800,360,2,1.0,0.0,0.0,96592.6925401468
87,1800,360,2,0.9090909090909091,0.045454545454545456,0.0,93631.70770450418
88,1800,360,2,1.0,0.0,0.95,92749.56506039221
89,1800,360,2,0.9090909090909091,0.09090909090909091,0.0,113158.03837689821
90,1800,360,2,0.9545454545454546,0.045454545454545456,0.0,113696.14340069615
91,1800,360,2,0.9090909090909091,0.09090909090909091,0.0,113254.36116011313
92,1800,360,2,0.9090909090909091,0.09090909090909091,0.9090909090909091,107155.9952484204
93,1800,360,2,0.9545454545454546,0.045454545454545456,0.0,119860.97101684385
94,1800,360,3,1.0,0.0,0.0,93778.78449968474
95,1800,360,3,0.8636363636363636,0.13636363636363635,0.0,97811.54089868114
96,1800,450,0,1.0,0.0,0.0,122741.98888366912
97,1800,450,0,0.9545454545454546,0.045454545454545456,0.0,122079.50043517377
98,1800,450,0,1.0,0.0,0.0,126674.25744093904
99,1800,450,0,1.0,0.0,0.9130434782608696,135248.69235495134
100,1800,450,0,1.0,0.0,0.0,130864.90682978215
101,1800,450,0,1.0,0.0,0.0,125810.14049840433
102,1800,450,0,1.0,0.0,0.0,115246.01244811148
103,1800,450,0,1.0,0.0,0.0,116140.43322770682
