,TX_AGGREGATION_TIMER_NOMINAL,MEASURE_INTERVAL_S,children,pdr,plr,aggregation_efficiency,energy,energy_per_byte,energy_tx_per_byte,latency
2541,1458,1800,0,1.0,0.0,0.0,71831.45403380117,570.0909050301681,70.62477655625679,1578.9676164182601
2542,1458,1800,0,0.9545454545454546,0.0,0.0,75321.1328902076,570.6146431076334,70.47922356006305,1579.7993817471724
2543,1458,1800,0,1.0,0.0,0.0,69020.95079758346,522.8859908907838,70.47922356007449,1579.0979363878541
2544,1458,1800,0,1.0,0.0,0.0,69592.21122593852,527.2137214086251,70.47922356007449,1579.2004464729907
2545,1458,1800,0,0.9545454545454546,0.045454545454545456,0.0,57894.35000958482,438.5935606786729,70.47922356007449,1578.8433625530015
2546,1458,1800,0,0.9523809523809523,0.047619047619047616,0.0,51153.5151869353,405.9802792613913,70.62477655625679,1579.0431695681473
2547,1458,1800,0,0.9545454545454546,0.0,0.0,48830.71629676218,369.929668914865,70.47922356006305,1525.7929155012826
2548,1458,1800,0,1.0,0.0,0.0,87218.63316573766,660.747220952558,70.47922356007449,1579.0488454784281
2549,1458,1800,1,1.0,0.0,0.875,59925.65486462202,226.99111691144705,36.94101904001069,1428.1643149773436
2550,1458,1800,1,0.9090909090909091,0.045454545454545456,0.9166666666666666,52705.83870517772,199.64332842870348,36.9450446400091,1460.0420150801383
2551,1458,1800,1,1.0,0.0,0.9166666666666666,85475.22742983258,323.76980087057797,36.9450446400091,1460.4282965723878
2552,1458,1800,1,1.0,0.0,0.9565217391304348,87147.80275980737,337.78218123956344,36.23626403535829,1460.1237001377904
2553,1458,1800,2,1.0,0.0,0.92,92109.06330135098,176.45414425546164,19.71635058851432,1428.991978960273
2554,1458,1800,2,0.9090909090909091,0.0,0.9166666666666666,60726.66774518359,155.70940447482974,25.180629651700198,1460.1466539195717
2555,1458,1800,2,0.9090909090909091,0.045454545454545456,0.9166666666666666,76778.72582771278,196.8685277633661,25.17790463016281,1368.3317656329737
2556,1458,1800,2,0.9523809523809523,0.047619047619047616,0.9583333333333334,52463.7059198245,68.31211708310481,13.019516895008975,1285.2176506202977
2557,1458,1800,2,1.0,0.0,0.88,67866.81324574162,55.17627093149725,8.622316044880938,1284.3810208221712
2558,1458,1800,3,1.0,0.0,0.9583333333333334,87704.1419075075,96.803688639633,11.091543730863112,1441.8780732923797
2559,1458,1800,3,1.0,0.0,0.9166666666666666,73179.15683513758,141.82007138592553,19.161626634428806,1441.9326773072817
2560,1476,1800,0,1.0,0.0,0.0,82595.29904306364,598.5166597323453,70.346327346147,1408.500523838447
2561,1476,1800,0,1.0,0.0,0.0,81868.44322488211,620.2154789763796,70.47922356007449,1478.1765372244377
2562,1476,1800,0,1.0,0.0,0.0,83990.91315006996,666.594548810079,70.62477655626877,1477.9884456910668
2563,1476,1800,0,1.0,0.0,0.0,88653.83907233247,671.6199929722156,70.47922356007449,1478.4607483135187
2564,1476,1800,0,1.0,0.0,0.0,85784.72915575959,649.8843117860575,70.47922356006305,1478.476335065674
2565,1476,1800,0,1.0,0.0,0.0,66007.467148896,500.0565693098182,70.47922356007449,1477.9477547170973
2566,1476,1800,0,1.0,0.0,0.0,75272.6219547153,570.2471360205705,70.47922356006305,1478.4993414679993
2567,1476,1800,0,0.9545454545454546,0.0,0.0,48765.07287950072,369.4323702992479,70.47922356007449,1478.593860858713
2568,1476,1800,0,0.9545454545454546,0.0,0.0,48251.35627630801,365.5405778508183,70.47922356007449,1478.1293443699487
2569,1476,1800,0,0.9545454545454546,0.0,0.0,51057.40181216617,386.79849857701646,70.47922356006305,1478.592699261786
2570,1476,1800,0,0.9545454545454546,0.0,0.0,89420.45580417679,677.4276954861878,70.47922356007449,1478.1655972272165
2571,1476,1800,0,1.0,0.0,0.0,90894.04476468996,721.3813076562695,70.62477655625679,1478.7087181966635
2572,1476,1800,0,0.9545454545454546,0.0,0.0,73219.16954214065,554.6906783495504,70.47922356006305,1478.007631076336
2573,1476,1800,0,1.0,0.0,0.0,71916.75695868817,570.767912370541,70.62477655625679,1478.1231733813256
2574,1476,1800,0,1.0,0.0,0.0,72459.83485896658,575.0780544362427,70.62477655625679,1478.5272354672961
2575,1476,1800,0,0.9545454545454546,0.0,0.0,69537.40650409235,526.7985341219118,70.47922356007449,1478.288352946929
