,CAD_INTERVAL_RANDOM_S,MEASURE_INTERVAL_S,children,pdr,plr,aggregation_efficiency,energy,energy_per_byte,energy_tx_per_byte,latency
75,0.038,1800,0,0.9545454545454546,0.0,0.0,71130.44618677048,538.867016566443,70.47922356006305,958.3909720020638
76,0.038,1800,0,1.0,0.0,0.0,72008.87163097285,571.4989811981972,70.62477655625679,958.7184600020482
77,0.038,1800,0,0.9565217391304348,0.0,0.0,71280.1442059307,516.5227841009471,70.34632734615795,958.3909720020638
78,0.038,1800,0,0.9545454545454546,0.0,0.0,68432.99704510135,518.4317957962223,70.47922356006305,958.7184600020482
79,0.038,1800,0,0.9545454545454546,0.0,0.0,70126.07224654332,531.2581230798736,70.47922356006305,958.3909719980766
80,0.038,1800,0,0.9565217391304348,0.0,0.0,58650.13087284398,425.0009483539419,70.34632734615795,958.7184599966349
81,0.038,1800,0,0.9545454545454546,0.0,0.0,53507.699441572826,405.3613594058547,70.47922356006305,958.3909719961084
82,0.038,1800,0,0.9090909090909091,0.0,0.0,52341.23369358832,396.5244976786994,70.47922356006305,958.7184599966349
83,0.038,1800,0,0.9545454545454546,0.0,0.0,87180.43175653323,660.457816337373,70.47922356006305,958.3909719961084
84,0.038,1800,1,1.0,0.0,0.8,64149.246572344564,248.6404905904828,39.35572253954469,831.5501480000962
85,0.038,1800,1,0.9565217391304348,0.0,0.875,52089.84920659972,197.3100348734838,36.94101904001069,902.3584239998368
86,0.038,1800,1,1.0,0.0,0.9130434782608696,84829.36797739263,328.7959999123745,36.23214481675233,902.4607959995064
87,0.038,1800,1,1.0,0.0,0.9545454545454546,88633.79330326084,351.72140199706683,35.48951467810371,571.7394159997239
88,0.038,1800,1,0.9545454545454546,0.0,0.9166666666666666,88775.3442987166,172.04524088898566,19.161626634426607,571.86178799972
89,0.038,1800,1,1.0,0.0,0.9565217391304348,55011.03579342972,143.25790571205656,24.517831098759686,902.0068199996149
90,0.038,1800,2,1.0,0.0,0.9705882352941176,94211.33794812209,81.78067530218931,12.320426900839374,820.55089999952
91,0.038,1800,2,0.9130434782608695,0.0,0.8888888888888888,66554.90229633523,170.6535956316288,37.53523011447528,238.82714399987162
92,0.038,1800,2,1.0,0.0,0.9565217391304348,75755.42775958318,197.2797597905812,24.520598698758107,37.17344800000137
93,0.038,1800,2,1.0,0.0,0.8918918918918919,76416.42294508242,84.90713660564714,16.987525109876945,786.1243519996387
94,0.038,1800,3,1.0,0.0,0.9545454545454546,87135.32424162982,138.3100384787775,14.47920811124514,974.3828319995337
95,0.038,1800,3,0.9565217391304348,0.0,0.9428571428571428,88461.32694539854,169.46614357356043,27.402961944839706,902.0465639995764
96,0.057,1800,0,1.0,0.0,0.0,76755.74379904303,609.1725698336749,70.62477655625679,887.2352319998317
97,0.057,1800,0,1.0,0.0,0.0,76007.1853533893,603.231629788804,70.62477655625679,902.3848885664283
98,0.057,1800,0,1.0,0.0,0.0,80448.8930490748,609.4613109778394,70.47922356006305,902.2978439998897
99,0.057,1800,0,1.0,0.0,0.0,87850.17019866669,636.5954362222224,70.346327346147,902.3401079999403
100,0.057,1800,0,1.0,0.0,0.0,84848.40575407314,642.7909526823723,70.47922356006305,902.2978439998897
101,0.057,1800,0,1.0,0.0,0.0,64010.87707130387,463.84693529930337,70.346327346147,902.4317840001859
102,0.057,1800,0,1.0,0.0,0.0,73912.67766809194,535.5991135368981,70.346327346147,902.2978440022198
103,0.057,1800,0,0.9565217391304348,0.0,0.0,54900.77082653004,397.8316726560148,70.34632734615248,902.3623040026032
104,0.057,1800,0,0.9565217391304348,0.0,0.0,48938.00970966169,354.6232587656644,70.34632734615795,902.2978440022198
105,0.057,1800,0,0.9545454545454546,0.0,0.0,47176.97580633446,357.40133186617015,70.47922356006305,902.2928240026631
106,0.057,1800,0,1.0,0.0,0.0,83028.4648351941,658.956070120588,70.62477655625679,902.2978440022198
107,0.057,1800,0,0.9545454545454546,0.0,0.0,86252.76242969374,653.4300184067707,70.47922356006305,902.223344002723
108,0.057,1800,0,0.9545454545454546,0.0,0.0,75107.04027342242,568.9927293441092,70.47922356006305,902.2978440022198
109,0.057,1800,0,0.9565217391304348,0.0,0.0,70569.46348242469,511.37292378568617,70.34632734615795,902.1538640027829
110,0.057,1800,0,0.9545454545454546,0.0,0.0,70153.01691788244,531.4622493778973,70.47922356006305,902.2978440022198
111,0.057,1800,0,0.9545454545454546,0.0,0.0,67826.70304674016,513.8386594450012,70.47922356006305,902.0843839973531
112,0.057,1800,0,0.9545454545454546,0.0,0.0,65963.79096677293,499.72568914221915,70.47922356006305,902.2978439961153
113,0.057,1800,0,0.9130434782608695,0.0,0.0,58914.58537428274,426.9172853208894,70.346327346147,902.0149039949756
114,0.057,1800,0,0.9545454545454546,0.0,0.0,50836.215133562604,385.1228419209288,70.47922356006305,902.2978439961153
115,0.057,1800,0,1.0,0.0,0.0,46299.108431092325,367.4532415166058,70.62477655625679,902.6405479934474
116,0.057,1800,0,1.0,0.0,0.0,81771.03825864504,648.9764941162305,70.62477655625679,902.2978439961153
117,0.057,1800,1,1.0,0.0,0.9545454545454546,58536.252786145764,232.28671740534034,35.48951467810371,890.9708298437163
118,0.057,1800,1,1.0,0.0,0.9130434782608696,50702.52312974749,201.2004886101091,37.09059763620047,891.3309045664446
119,0.057,1800,1,1.0,0.0,0.9130434782608696,79956.37147431045,309.9084165670948,36.23214481675233,891.2152319998604
120,0.057,1800,1,0.9565217391304348,0.0,0.88,55746.45314711415,142.93962345413885,26.20972552000763,891.0250759997089
121,0.057,1800,2,1.0,0.0,0.9166666666666666,92539.94929425426,72.40997597359488,8.001061435494304,930.1622972302262
122,0.057,1800,2,0.9130434782608695,0.0,0.88,60656.45352752487,150.88670031722606,25.440564041799828,929.8814464102625
123,0.057,1800,2,0.9545454545454546,0.0,0.9166666666666666,87640.04231227869,136.51096933376743,15.468804420195482,512.8384405664892
124,0.057,1800,2,0.9565217391304348,0.0,0.875,73930.86380141335,189.5663174395214,25.17790463016087,512.9160319999864
125,0.057,1800,2,1.0,0.0,0.9761904761904762,75007.57486859414,83.34174985399349,19.234945464539223,513.488784000001
126,0.057,1800,3,1.0,0.0,0.9411764705882353,86170.05061866702,168.96088356601376,27.250362656005965,912.1442802933266
127,0.057,1800,3,0.9545454545454546,0.0,0.9166666666666666,87504.00561254614,169.5814062258646,19.159567025125458,911.5614784102881
128,0.076,1800,0,1.0,0.0,0.0,78946.10350430972,598.0765416993161,70.47922356006305,959.8658240482509
129,0.076,1800,0,1.0,0.0,0.0,78760.02652118605,570.7248298636671,70.346327346147,959.8369360002034
130,0.076,1800,0,1.0,0.0,0.0,81408.07359631167,616.7278302750884,70.47922356006305,960.420051999432
131,0.076,1800,0,1.0,0.0,0.0,87789.17986046657,636.1534772497578,70.346327346147,959.9102999977695
132,0.076,1800,0,1.0,0.0,0.0,84678.50622680454,641.5038350515496,70.47922356006305,959.9022999977678
133,0.076,1800,0,1.0,0.0,0.0,64611.89547861433,468.2021411493792,70.346327346147,959.9102999977695
134,0.076,1800,0,0.9545454545454546,0.0,0.0,73407.49036298506,556.1173512347353,70.47922356006305,959.9022999977678
135,0.076,1800,0,0.9565217391304348,0.0,0.0,54112.608760228904,392.12035333499205,70.34632734615795,959.9103000025825
136,0.076,1800,0,1.0,0.0,0.0,47435.655179581016,359.36102408773496,70.47922356007449,959.9023000025882
137,0.076,1800,0,0.9565217391304348,0.0,0.0,48066.67780021851,348.30925942187326,70.346327346147,959.9103000025898
138,0.076,1800,0,0.9565217391304348,0.0,0.0,88301.88193032725,639.8687096400525,70.34632734615795,959.8793000025835
139,0.076,1800,0,0.9545454545454546,0.0,0.0,90266.53031629958,683.8373508810574,70.47922356006305,959.9573000025994
140,0.076,1800,0,0.9545454545454546,0.0,0.0,89151.6737634399,675.3914679048478,70.47922356006305,959.9023000025882
141,0.076,1800,0,0.9545454545454546,0.0,0.0,71802.92339754131,543.9615408904644,70.47922356006305,959.9103000025898
142,0.076,1800,0,1.0,0.0,0.0,69053.11948389314,523.1296930597965,70.47922356006305,959.9023000025882
143,0.076,1800,0,0.9565217391304348,0.0,0.0,66999.78409914504,485.50568187786257,70.346327346147,959.9103000025898
144,0.076,1800,0,0.9090909090909091,0.0,0.0,65123.937743457216,493.3631647231607,70.47922356006305,959.9022999969129
145,0.076,1800,0,0.9565217391304348,0.0,0.0,58772.08976954337,425.88470847495194,70.346327346147,959.9572999963784
146,0.076,1800,0,0.9545454545454546,0.0,0.0,51429.98369231781,389.6210885781652,70.47922356006305,959.9022999965673
147,0.076,1800,0,1.0,0.0,0.0,46281.48176674888,367.31334735514986,70.62477655625679,959.9102999965398
148,0.076,1800,0,0.9545454545454546,0.0,0.0,86406.53556693293,654.5949664161585,70.47922356006305,959.9022999965673
149,0.076,1800,1,1.0,0.0,0.9130434782608696,58771.373162234006,227.79602000865893,36.23214481675233,977.3343760001044
150,0.076,1800,1,1.0,0.0,0.9565217391304348,51904.33267393872,196.60732073461637,35.41673818001051,793.827152000129
151,0.076,1800,1,1.0,0.0,0.9130434782608696,79035.19594200178,313.6317299285785,37.09059763619747,737.9387439983238
152,0.076,1800,1,0.9130434782608695,0.0,0.875,88144.72979566507,333.8815522563071,36.94101904000782,737.5377279982422
153,0.076,1800,2,1.0,0.0,0.9411764705882353,93774.10971839308,186.0597415047482,27.568445792387227,828.6852200001103
154,0.076,1800,2,0.9565217391304348,0.0,0.88,61286.508982007625,152.45400244280503,25.440564041800297,588.0370680001233
155,0.076,1800,2,0.9545454545454546,0.0,0.9166666666666666,75551.18625981326,193.72099040977758,25.17790463016281,902.466007998928
156,0.076,1800,2,0.9565217391304348,0.0,0.9142857142857143,59123.32393294202,75.22051390959544,18.361166848861913,392.21808399909423
157,0.076,1800,2,1.0,0.0,0.9705882352941176,74317.91920506328,57.07981505765229,10.945100417330286,901.9712559978907
158,0.076,1800,3,1.0,0.0,0.9428571428571428,89930.67115350273,98.6081920542793,15.887353176323744,849.9125680001198
159,0.076,1800,3,0.9565217391304348,0.0,0.9428571428571428,76320.63089550116,144.54664942329765,27.09559025000468,6.266744000015024
160,0.095,1800,0,1.0,0.0,0.0,71049.743031971,538.2556290300834,70.47922356006305,870.444568000114
161,0.095,1800,0,1.0,0.0,0.0,71909.31248887426,544.767518855108,70.47922356006305,902.1980720004085
162,0.095,1800,0,0.9565217391304348,0.0,0.0,75950.77521866346,550.3679363671265,70.34632734615795,902.3344800004252
163,0.095,1800,0,1.0,0.0,0.0,81377.69745350904,616.4977079811291,70.47922356006305,902.145083998128
164,0.095,1800,0,1.0,0.0,0.0,76282.48868073536,552.771657106778,70.34632734615795,902.3052719981788
165,0.095,1800,0,1.0,0.0,0.0,61514.62541254045,488.2113127979401,70.62477655625679,902.4162559981196
