,MEASURE_INTERVAL_S,TX_AGGREGATION_TIMER_NOMINAL,hops,pdr,plr,aggregation_efficiency,energy,latency
62,1800,270,3,0.8695652173913043,0.13043478260869565,0.0,89833.68872357263,89833.68872357263
63,1800,270,3,0.9130434782608695,0.08695652173913043,0.0,92620.54468332176,92620.54468332176
64,1800,360,0,1.0,0.0,0.0,120579.0187409248,120579.0187409248
65,1800,360,0,1.0,0.0,0.0,120103.19709279186,120103.19709279186
66,1800,360,0,1.0,0.0,0.0,123632.2002744432,123632.2002744432
67,1800,360,0,1.0,0.0,0.7419354838709677,134039.62494177002,134039.62494177002
68,1800,360,0,1.0,0.0,0.0,130591.62560989485,130591.62560989485
69,1800,360,0,1.0,0.0,0.0,124948.23085976999,124948.23085976999
70,1800,360,0,0.9565217391304348,0.043478260869565216,0.0,112493.05041819892,112493.05041819892
71,1800,360,0,1.0,0.0,0.0,112386.4264563947,112386.4264563947
72,1800,360,0,1.0,0.0,0.92,96693.78381535008,96693.78381535008
73,1800,360,0,1.0,0.0,0.0,125625.49905422449,125625.49905422449
74,1800,360,0,1.0,0.0,0.5428571428571429,131338.948839425,131338.948839425
75,1800,360,0,0.8695652173913043,0.08695652173913043,0.9230769230769231,128766.21593163603,128766.21593163603
76,1800,360,0,1.0,0.0,0.96,108994.43659208724,108994.43659208724
77,1800,360,0,1.0,0.0,0.0,125704.26540741742,125704.26540741742
78,1800,360,1,1.0,0.0,0.8,97700.42678138665,97700.42678138665
79,1800,360,1,0.9565217391304348,0.043478260869565216,0.0,126034.10927320865,126034.10927320865
80,1800,360,1,0.9565217391304348,0.0,0.9523809523809523,138870.08975464787,138870.08975464787
81,1800,360,1,0.8695652173913043,0.13043478260869565,0.0,122572.47595037037,122572.47595037037
82,1800,360,1,0.34782608695652173,0.30434782608695654,0.0,125887.36414667872,125887.36414667872
83,1800,360,1,0.9565217391304348,0.0,0.9523809523809523,118573.25813989592,118573.25813989592
84,1800,360,1,1.0,0.0,0.9259259259259259,95209.33529811964,95209.33529811964
85,1800,360,1,1.0,0.0,0.0,85195.65869703503,85195.65869703503
86,1800,360,2,1.0,0.0,0.0,94052.14983798048,94052.14983798048
87,1800,360,2,1.0,0.0,0.0,88941.6592328727,88941.6592328727
88,1800,360,2,1.0,0.0,0.6764705882352942,92930.45502316434,92930.45502316434
89,1800,360,2,0.9565217391304348,0.0,0.0,110305.37094238588,110305.37094238588
90,1800,360,2,1.0,0.0,0.0,110734.37397782458,110734.37397782458
91,1800,360,2,1.0,0.0,0.0,110740.40070194911,110740.40070194911
92,1800,360,2,0.9565217391304348,0.0,0.7666666666666666,105093.19177680052,105093.19177680052
93,1800,360,2,1.0,0.0,0.0,118034.6852196224,118034.6852196224
94,1800,360,3,1.0,0.0,0.0,90479.63291676583,90479.63291676583
95,1800,360,3,1.0,0.0,0.0,93593.67501438865,93593.67501438865
96,1800,450,0,1.0,0.0,0.0,118472.09590624993,118472.09590624993
97,1800,450,0,0.9565217391304348,0.043478260869565216,0.0,118292.6319158518,118292.6319158518
98,1800,450,0,1.0,0.0,0.0,122650.6895303402,122650.6895303402
99,1800,450,0,1.0,0.0,0.9583333333333334,133353.09295941278,133353.09295941278
100,1800,450,0,1.0,0.0,0.0,128921.78682251096,128921.78682251096
101,1800,450,0,1.0,0.0,0.0,122435.21604063871,122435.21604063871
102,1800,450,0,1.0,0.0,0.0,110582.18503908892,110582.18503908892
103,1800,450,0,1.0,0.0,0.0,110291.30087700444,110291.30087700444
104,1800,450,0,1.0,0.0,0.9583333333333334,95982.85018368492,95982.85018368492
105,1800,450,0,0.9565217391304348,0.043478260869565216,0.0,124219.3826062984,124219.3826062984
106,1800,450,0,1.0,0.0,0.7333333333333334,129434.28743399953,129434.28743399953
107,1800,450,0,1.0,0.0,0.9130434782608696,128198.1534033492,128198.1534033492
108,1800,450,0,1.0,0.0,0.95,107277.46512768838,107277.46512768838
109,1800,450,0,0.9565217391304348,0.043478260869565216,0.0,124253.88385837912,124253.88385837912
110,1800,450,1,1.0,0.0,0.7916666666666666,96529.73896698645,96529.73896698645
111,1800,450,1,1.0,0.0,0.0,124996.97539058242,124996.97539058242
112,1800,450,1,1.0,0.0,0.9523809523809523,138996.40229787037,138996.40229787037
113,1800,450,1,0.5652173913043478,0.043478260869565216,0.0,123240.17898260227,123240.17898260227
114,1800,450,1,1.0,0.0,0.8518518518518519,127919.32648707506,127919.32648707506
115,1800,450,1,1.0,0.0,0.9565217391304348,118592.48952403932,118592.48952403932
116,1800,450,1,0.9565217391304348,0.043478260869565216,0.7096774193548387,95478.64017693304,95478.64017693304
117,1800,450,1,1.0,0.0,0.0,85585.88151828447,85585.88151828447
118,1800,450,2,1.0,0.0,0.0,93147.33800906704,93147.33800906704
119,1800,450,2,0.9565217391304348,0.043478260869565216,0.0,89472.93777566828,89472.93777566828
120,1800,450,2,0.9130434782608695,0.08695652173913043,0.9166666666666666,90037.1085231542,90037.1085231542
121,1800,450,2,1.0,0.0,0.0,111671.47306165655,111671.47306165655
122,1800,450,2,1.0,0.0,0.0,111285.1868573771,111285.1868573771
123,1800,450,2,1.0,0.0,0.0,111091.19230902186,111091.19230902186
124,1800,450,2,0.9565217391304348,0.043478260869565216,0.8214285714285714,105145.4843215157,105145.4843215157
125,1800,450,2,1.0,0.0,0.0,119326.74998502975,119326.74998502975
126,1800,450,3,0.9130434782608695,0.08695652173913043,0.0,89670.97004807061,89670.97004807061
127,1800,450,3,0.9565217391304348,0.043478260869565216,0.0,94059.52887669805,94059.52887669805
128,1800,540,0,1.0,0.0,0.0,118601.98221749527,118601.98221749527
129,1800,540,0,1.0,0.0,0.0,118705.52669904046,118705.52669904046
130,1800,540,0,0.9565217391304348,0.043478260869565216,0.0,121667.45979589492,121667.45979589492
131,1800,540,0,1.0,0.0,0.9523809523809523,132464.00328230212,132464.00328230212
132,1800,540,0,1.0,0.0,0.0,128972.22468191813,128972.22468191813
133,1800,540,0,1.0,0.0,0.0,122877.87065245655,122877.87065245655
134,1800,540,0,0.9565217391304348,0.043478260869565216,0.0,112297.33964186478,112297.33964186478
135,1800,540,0,1.0,0.0,0.0,111437.33831736447,111437.33831736447
136,1800,540,0,1.0,0.0,0.9166666666666666,96921.49481116177,96921.49481116177
137,1800,540,0,1.0,0.0,0.0,125923.98964690363,125923.98964690363
138,1800,540,0,1.0,0.0,0.7857142857142857,129778.54307725218,129778.54307725218
139,1800,540,0,1.0,0.0,0.9545454545454546,128647.63984638637,128647.63984638637
140,1800,540,0,1.0,0.0,0.92,107761.3864681162,107761.3864681162
141,1800,540,0,1.0,0.0,0.0,125278.8534672953,125278.8534672953
142,1800,540,1,1.0,0.0,0.9130434782608696,97308.4844621081,97308.4844621081
143,1800,540,1,1.0,0.0,0.0,125099.45584453236,125099.45584453236
144,1800,540,1,0.9130434782608695,0.043478260869565216,0.9090909090909091,135792.09042101662,135792.09042101662
145,1800,540,1,1.0,0.0,0.0,121920.91814941162,121920.91814941162
146,1800,540,1,1.0,0.0,0.8571428571428572,124930.28249841587,124930.28249841587
147,1800,540,1,0.9565217391304348,0.043478260869565216,0.0,118305.40156473659,118305.40156473659
148,1800,540,1,1.0,0.0,0.0,93815.29416404055,93815.29416404055
149,1800,540,1,0.9565217391304348,0.043478260869565216,0.0,86353.73152530823,86353.73152530823
150,1800,540,2,1.0,0.0,0.9523809523809523,92533.92260836519,92533.92260836519
151,1800,540,2,1.0,0.0,0.0,89716.83852003362,89716.83852003362
152,1800,540,2,1.0,0.0,0.0,112248.67885714314,112248.67885714314
153,1800,540,2,1.0,0.0,0.0,110978.79882527547,110978.79882527547
154,1800,540,2,1.0,0.0,0.0,111464.77646100942,111464.77646100942
155,1800,540,2,0.6086956521739131,0.391304347826087,0.8518518518518519,105985.72469993947,105985.72469993947
156,1800,540,2,0.9130434782608695,0.08695652173913043,0.0,118454.40580698955,118454.40580698955
157,1800,540,3,1.0,0.0,0.0,90197.27559564731,90197.27559564731
158,1800,540,3,1.0,0.0,0.0,89334.40568943153,89334.40568943153
159,1800,540,3,0.6086956521739131,0.391304347826087,0.0,94622.48743685002,94622.48743685002
160,1800,630,0,0.8260869565217391,0.0,0.0,118761.79066720289,118761.79066720289
161,1800,630,0,1.0,0.0,0.0,119036.7304414936,119036.7304414936
162,1800,630,0,1.0,0.0,0.0,123423.07751666536,123423.07751666536
163,1800,630,0,1.0,0.0,0.9130434782608696,131790.32631740082,131790.32631740082
164,1800,630,0,1.0,0.0,0.0,128491.26001015685,128491.26001015685
165,1800,630,0,1.0,0.0,0.0,122811.116678903,122811.116678903
166,1800,630,0,1.0,0.0,0.0,111112.40148924213,111112.40148924213
167,1800,630,0,1.0,0.0,0.0,111773.0943071101,111773.0943071101
168,1800,630,0,1.0,0.0,0.9166666666666666,96815.8869325722,96815.8869325722
169,1800,630,0,1.0,0.0,0.0,125677.72078887197,125677.72078887197
170,1800,630,0,1.0,0.0,0.5925925925925926,128734.82058986984,128734.82058986984
171,1800,630,0,1.0,0.0,0.95,126734.93103675969,126734.93103675969
172,1800,630,0,1.0,0.0,0.9523809523809523,107459.02541432787,107459.02541432787
173,1800,630,0,1.0,0.0,0.0,125043.27320959124,125043.27320959124
174,1800,630,1,1.0,0.0,0.9047619047619048,96173.53281700502,96173.53281700502
175,1800,630,1,1.0,0.0,0.0,124278.04140358372,124278.04140358372
176,1800,630,1,1.0,0.0,0.9473684210526316,134875.36113020114,134875.36113020114
177,1800,630,1,0.9565217391304348,0.043478260869565216,0.0,121502.31100843132,121502.31100843132
178,1800,630,1,0.9130434782608695,0.0,0.0,124736.43533417457,124736.43533417457
179,1800,630,1,0.9565217391304348,0.0,0.9444444444444444,117177.24863550192,117177.24863550192
180,1800,630,1,1.0,0.0,0.0,93283.70315447454,93283.70315447454
181,1800,630,1,1.0,0.0,0.0,86391.16448721391,86391.16448721391
182,1800,630,2,1.0,0.0,0.95,92594.28052238736,92594.28052238736
183,1800,630,2,1.0,0.0,0.0,89915.4790516668,89915.4790516668
184,1800,630,2,0.9130434782608695,0.0,0.0,111179.18593083667,111179.18593083667
185,1800,630,2,0.9130434782608695,0.0,0.0,110891.29765397264,110891.29765397264
186,1800,630,2,1.0,0.0,0.0,111670.08392970175,111670.08392970175
187,1800,630,2,1.0,0.0,0.8518518518518519,104797.05502035157,104797.05502035157
188,1800,630,2,1.0,0.0,0.0,118441.27587643043,118441.27587643043
189,1800,630,3,1.0,0.0,0.0,90599.02896179863,90599.02896179863
190,1800,630,3,1.0,0.0,0.0,89567.36520064855,89567.36520064855
191,1800,630,3,1.0,0.0,0.0,94862.51150088052,94862.51150088052
192,1800,720,0,0.9130434782608695,0.0,0.0,119302.40004712789,119302.40004712789
193,1800,720,0,1.0,0.0,0.0,119415.16103437348,119415.16103437348
194,1800,720,0,0.9565217391304348,0.043478260869565216,0.0,122405.61967806386,122405.61967806386
195,1800,720,0,1.0,0.0,0.9473684210526316,130530.63556040518,130530.63556040518
196,1800,720,0,1.0,0.0,0.0,129472.93910189123,129472.93910189123
197,1800,720,0,1.0,0.0,0.0,123371.07368282383,123371.07368282383
198,1800,720,0,1.0,0.0,0.0,113166.8346264911,113166.8346264911
199,1800,720,0,1.0,0.0,0.0,112638.22271643457,112638.22271643457
200,1800,720,0,1.0,0.0,0.9545454545454546,97817.4090282002,97817.4090282002
201,1800,720,0,1.0,0.0,0.0,124950.670551022,124950.670551022
202,1800,720,0,1.0,0.0,0.6923076923076923,128529.38136099778,128529.38136099778
203,1800,720,0,1.0,0.0,0.95,126819.01954364707,126819.01954364707
204,1800,720,0,1.0,0.0,0.7407407407407407,109311.69384354589,109311.69384354589
205,1800,720,0,1.0,0.0,0.0,124196.83110462944,124196.83110462944
206,1800,720,1,1.0,0.0,0.9047619047619048,97833.07868945811,97833.07868945811
207,1800,720,1,1.0,0.0,0.9545454545454546,123751.91056866,123751.91056866
208,1800,720,1,1.0,0.0,0.9444444444444444,134019.1963763407,134019.1963763407
209,1800,720,1,1.0,0.0,0.0,121779.73215613548,121779.73215613548
210,1800,720,1,0.7391304347826086,0.043478260869565216,0.0,124393.79349614287,124393.79349614287
211,1800,720,1,1.0,0.0,0.9473684210526316,116058.47334493343,116058.47334493343
212,1800,720,1,1.0,0.0,0.0,87078.8521113589,87078.8521113589
213,1800,720,2,1.0,0.0,0.95,93176.7718061811,93176.7718061811
214,1800,720,2,1.0,0.0,0.0,90513.2376961628,90513.2376961628
215,1800,720,2,1.0,0.0,0.0,110966.39036532331,110966.39036532331
216,1800,720,2,1.0,0.0,0.0,110413.86690640854,110413.86690640854
217,1800,720,2,1.0,0.0,0.0,111367.16191397571,111367.16191397571
218,1800,720,2,1.0,0.0,0.0,104512.5741970297,104512.5741970297
219,1800,720,2,1.0,0.0,0.9545454545454546,117047.63285047184,117047.63285047184
220,1800,720,2,1.0,0.0,0.0,94449.1510634924,94449.1510634924
221,1800,720,3,1.0,0.0,0.0,90949.22204823857,90949.22204823857
222,1800,720,3,1.0,0.0,0.0,90469.56674075141,90469.56674075141
223,1800,720,3,1.0,0.0,0.0,94518.15677861408,94518.15677861408
224,1800,810,0,1.0,0.0,0.0,119414.49167206674,119414.49167206674
225,1800,810,0,1.0,0.0,0.0,119513.02305713872,119513.02305713872
226,1800,810,0,1.0,0.0,0.0,123082.16013786808,123082.16013786808
227,1800,810,0,1.0,0.0,0.9473684210526316,131068.6536724712,131068.6536724712
228,1800,810,0,1.0,0.0,0.0,128110.17635069668,128110.17635069668
229,1800,810,0,1.0,0.0,0.0,122730.811473475,122730.811473475
230,1800,810,0,1.0,0.0,0.0,111944.82383707832,111944.82383707832
231,1800,810,0,1.0,0.0,0.0,112070.6004147964,112070.6004147964
232,1800,810,0,0.9565217391304348,0.0,0.9523809523809523,96349.92089484254,96349.92089484254
233,1800,810,0,1.0,0.0,0.0,126339.4840998356,126339.4840998356
234,1800,810,0,1.0,0.0,0.64,129526.84877269427,129526.84877269427
235,1800,810,0,1.0,0.0,0.9,128017.83952026382,128017.83952026382
236,1800,810,0,1.0,0.0,0.8947368421052632,105690.61106539369,105690.61106539369
237,1800,810,0,1.0,0.0,0.0,126226.29344264774,126226.29344264774
238,1800,810,1,0.9565217391304348,0.043478260869565216,0.8888888888888888,96539.87745629689,96539.87745629689
239,1800,810,1,1.0,0.0,0.0,125338.88253548287,125338.88253548287
240,1800,810,1,1.0,0.0,0.9473684210526316,135446.19932768994,135446.19932768994
241,1800,810,1,1.0,0.0,0.0,122295.44483907317,122295.44483907317
242,1800,810,1,0.9565217391304348,0.0,0.0,125397.4985230868,125397.4985230868
243,1800,810,1,1.0,0.0,0.9411764705882353,117741.02697886525,117741.02697886525
244,1800,810,1,0.9565217391304348,0.043478260869565216,0.9,92715.05546210521,92715.05546210521
245,1800,810,1,0.9565217391304348,0.0,0.0,86652.4710853984,86652.4710853984
246,1800,810,2,0.9130434782608695,0.08695652173913043,0.0,94682.87101601595,94682.87101601595
247,1800,810,2,0.9130434782608695,0.08695652173913043,0.0,91330.41208953169,91330.41208953169
248,1800,810,2,0.9130434782608695,0.08695652173913043,0.9523809523809523,90152.32163593895,90152.32163593895
249,1800,810,2,0.9565217391304348,0.0,0.0,112692.10644754593,112692.10644754593
250,1800,810,2,1.0,0.0,0.0,112324.81152559519,112324.81152559519
251,1800,810,2,1.0,0.0,0.0,112183.06734943936,112183.06734943936
252,1800,810,2,1.0,0.0,0.7857142857142857,106957.00137212875,106957.00137212875
253,1800,810,2,0.9130434782608695,0.08695652173913043,0.0,118437.62354047819,118437.62354047819
254,1800,810,3,0.9130434782608695,0.08695652173913043,0.0,91580.05989640683,91580.05989640683
255,1800,810,3,1.0,0.0,0.0,96133.18499631129,96133.18499631129
256,1800,900,0,0.9565217391304348,0.0,0.0,120236.94994230667,120236.94994230667
257,1800,900,0,1.0,0.0,0.0,120290.2277838187,120290.2277838187
258,1800,900,0,0.9565217391304348,0.043478260869565216,0.0,123879.80203156186,123879.80203156186
259,1800,900,0,1.0,0.0,0.95,133131.3356766833,133131.3356766833
260,1800,900,0,1.0,0.0,0.0,130655.50807507536,130655.50807507536
261,1800,900,0,1.0,0.0,0.0,124177.49688146003,124177.49688146003
262,1800,900,0,1.0,0.0,0.0,112951.95189208846,112951.95189208846
263,1800,900,0,1.0,0.0,0.0,113115.13919711976,113115.13919711976
264,1800,900,0,1.0,0.0,0.9090909090909091,97040.35372412145,97040.35372412145
265,1800,900,0,1.0,0.0,0.0,127697.03581296824,127697.03581296824
266,1800,900,0,1.0,0.0,0.6,130462.95690930553,130462.95690930553
267,1800,900,0,1.0,0.0,0.9444444444444444,128234.20630783659,128234.20630783659
268,1800,900,0,1.0,0.0,0.9,108138.42461771386,108138.42461771386
269,1800,900,0,1.0,0.0,0.0,127299.91264218577,127299.91264218577
270,1800,900,1,1.0,0.0,0.8888888888888888,97056.04939403862,97056.04939403862
271,1800,900,1,1.0,0.0,0.0,125965.8911393563,125965.8911393563
272,1800,900,1,1.0,0.0,0.875,135648.61966524023,135648.61966524023
273,1800,900,1,1.0,0.0,0.0,124039.35650746788,124039.35650746788
274,1800,900,1,0.9565217391304348,0.043478260869565216,0.0,126875.46557855129,126875.46557855129
275,1800,900,1,1.0,0.0,0.9375,117469.31943820644,117469.31943820644
276,1800,900,1,1.0,0.0,0.8888888888888888,93295.11424281368,93295.11424281368
277,1800,900,1,0.9565217391304348,0.043478260869565216,0.0,87642.64734553159,87642.64734553159
278,1800,900,2,1.0,0.0,0.0,94899.550640827,94899.550640827
279,1800,900,2,1.0,0.0,0.0,91641.41059671367,91641.41059671367
280,1800,900,2,1.0,0.0,0.9523809523809523,90301.39231640538,90301.39231640538
281,1800,900,2,1.0,0.0,0.0,112123.73071991233,112123.73071991233
282,1800,900,2,1.0,0.0,0.0,112960.92540178001,112960.92540178001
283,1800,900,2,1.0,0.0,0.0,113587.12665949299,113587.12665949299
284,1800,900,2,1.0,0.0,0.9090909090909091,105681.6824071,105681.6824071
285,1800,900,2,1.0,0.0,0.0,118033.53463628938,118033.53463628938
286,1800,900,3,1.0,0.0,0.0,92508.13229647194,92508.13229647194
