,TX_AGGREGATION_TIMER_RANDOM,MEASURE_INTERVAL_S,children,pdr,plr,aggregation_efficiency,energy,energy_per_byte,energy_tx_per_byte,latency
136,13,1800,0,0.9565217391304348,0.0,0.0,46193.05018722355,334.732247733504,70.34632734615795,911.0009437839581
137,13,1800,0,1.0,0.0,0.0,44619.79425753722,354.1253512502954,70.62477655625679,911.4575942337324
138,13,1800,0,0.9545454545454546,0.0,0.0,90031.19448201988,682.0545036516658,70.47922356006305,910.7821688398144
139,13,1800,0,0.5217391304347826,0.43478260869565216,0.0,93199.71261418538,675.3602363346766,70.34632734615795,911.4845373287098
140,13,1800,0,0.5,0.45454545454545453,0.0,75504.68219741435,572.0051681622299,70.47922356006305,910.9331043636739
141,13,1800,0,1.0,0.0,0.0,71575.34340419309,568.0582809856594,70.62477655625679,911.3851566089215
142,13,1800,0,0.9565217391304348,0.0,0.0,72463.20738429698,525.0957056833115,70.34632734615795,910.7774646651633
143,13,1800,0,1.0,0.0,0.0,67217.27189232639,533.4704118438602,70.62477655625679,910.8919078107938
144,13,1800,0,0.9523809523809523,0.047619047619047616,0.0,66910.5421415473,531.0360487424389,70.62477655625679,910.6686406514527
145,13,1800,0,1.0,0.0,0.0,55419.5801234004,439.83793748730477,70.62477655625679,910.7611892379064
146,13,1800,0,0.9545454545454546,0.0,0.0,49991.83475587676,378.72602087785424,70.47922356006305,911.040054709425
147,13,1800,0,0.9545454545454546,0.0,0.0,46839.77017901268,354.8467437803991,70.47922356006305,911.3418490516342
148,13,1800,0,1.0,0.0,0.0,88980.52176998957,706.1946172221394,70.62477655625679,911.2923752002171
149,13,1800,1,1.0,0.0,0.875,57414.5959709717,217.47953019307462,36.94101904000782,902.1776380527385
150,13,1800,1,1.0,0.0,0.9130434782608696,48346.84935729711,191.8525768146711,37.09059763619898,902.0971257802676
151,13,1800,1,1.0,0.0,0.9545454545454546,85100.04232908557,337.6985806709745,35.48951467810371,643.009511441267
152,13,1800,1,1.0,0.0,0.9166666666666666,49640.44333653112,131.32392417071725,25.9631455390559,643.6873109607677
153,13,1800,2,1.0,0.0,0.9705882352941176,95436.53250773897,75.02872052495202,11.200733072459062,890.1178122625906
154,13,1800,2,0.9545454545454546,0.0,0.9166666666666666,58642.68051623535,150.36584747752653,25.17790463016281,23.559816870690156
155,13,1800,2,0.9565217391304348,0.0,0.9166666666666666,90203.3786050265,140.50370499225312,15.468804420194308,175.7050281858301
156,13,1800,2,0.9565217391304348,0.0,0.875,76482.91028571273,196.1100263736224,25.17790463016087,23.00735046502814
157,13,1800,2,1.0,0.0,0.96,66844.88886010059,75.27577574335652,11.761159300001749,176.02566402335833
158,13,1800,3,0.5454545454545454,0.45454545454545453,0.9411764705882353,93689.32273252109,181.56845490798662,26.937617192571565,911.4981183339739
159,13,1800,3,1.0,0.0,0.9696969696969697,91391.51326697154,179.19904562151282,26.461323152014387,911.1092264261679
160,16,1800,0,1.0,0.0,0.0,79827.70843721264,604.7553669485806,70.47922356006305,898.8683297242633
161,16,1800,0,1.0,0.0,0.0,80979.19223773222,613.4787290737289,70.47922356006305,902.5291683431742
162,16,1800,0,1.0,0.0,0.0,84560.9842593929,612.7607555028471,70.34632734615795,902.1241621453992
163,16,1800,0,1.0,0.0,0.0,92315.23341034267,732.6605826217672,70.62477655625679,902.1378703651844
